test_id,Day,Demand,holdingcost,orderingcost
18,4,17,1,801
18,5,73,1,801
18,6,32,1,801
18,7,93,1,801
18,8,62,1,801
18,9,35,1,801
18,10,63,1,801
18,11,76,1,801
18,12,21,1,801
18,13,24,1,801
18,14,45,1,801
18,15,83,1,801
18,16,30,1,801
18,17,21,1,801
18,18,73,1,801
18,19,82,1,801
18,20,54,1,801
19,1,2,3,172
19,2,18,3,172
19,3,6,3,172
19,4,39,3,172
19,5,40,3,172
19,6,62,3,172
19,7,66,3,172
19,8,83,3,172
19,9,55,3,172
19,10,45,3,172
19,11,21,3,172
19,12,43,3,172
19,13,56,3,172
19,14,71,3,172
19,15,25,3,172
19,16,66,3,172
19,17,18,3,172
19,18,61,3,172
19,19,97,3,172
19,20,38,3,172
20,1,43,2,486
20,2,54,2,486
20,3,36,2,486
20,4,46,2,486
20,5,50,2,486
20,6,77,2,486
20,7,5,2,486
20,8,81,2,486
20,9,22,2,486
20,10,96,2,486
20,11,76,2,486
20,12,85,2,486
20,13,43,2,486
20,14,40,2,486
20,15,7,2,486
20,16,26,2,486
20,17,89,2,486
20,18,3,2,486
20,19,79,2,486
20,20,57,2,486
21,1,71,5,517
21,2,94,5,517
21,3,32,5,517
21,4,61,5,517
21,5,27,5,517
21,6,9,5,517
21,7,79,5,517
21,8,28,5,517
21,9,78,5,517
21,10,70,5,517
21,11,98,5,517
21,12,77,5,517
21,13,100,5,517
21,14,55,5,517
21,15,92,5,517
21,16,20,5,517
21,17,79,5,517
21,18,68,5,517
21,19,89,5,517
21,20,54,5,517
22,1,56,2,685
22,2,49,2,685
22,3,56,2,685
22,4,0,2,685
22,5,80,2,685
22,6,96,2,685
22,7,41,2,685
22,8,24,2,685
22,9,80,2,685
22,10,62,2,685
22,11,16,2,685
22,12,65,2,685
22,13,52,2,685
22,14,42,2,685
22,15,4,2,685
22,16,78,2,685
22,17,48,2,685
22,18,45,2,685
22,19,55,2,685
22,20,83,2,685
23,1,76,6,982
23,2,77,6,982
23,3,16,6,982
23,4,0,6,982
23,5,20,6,982
23,6,29,6,982
23,7,89,6,982
23,8,5,6,982
23,9,100,6,982
23,10,65,6,982
23,11,80,6,982
23,12,44,6,982
23,13,64,6,982
23,14,14,6,982
23,15,7,6,982
23,16,69,6,982
23,17,93,6,982
23,18,9,6,982
23,19,65,6,982
23,20,2,6,982
24,1,69,1,790
24,2,66,1,790
24,3,31,1,790
24,4,94,1,790
24,5,97,1,790
24,6,8,1,790
24,7,98,1,790
24,8,98,1,790
24,9,72,1,790
24,10,22,1,790
24,11,37,1,790
24,12,8,1,790
24,13,49,1,790
24,14,41,1,790
24,15,49,1,790
24,16,34,1,790
24,17,73,1,790
24,18,27,1,790
24,19,21,1,790
24,20,19,1,790
25,1,96,4,859
25,2,25,4,859
25,3,74,4,859
25,4,65,4,859
25,5,99,4,859
25,6,19,4,859
25,7,19,4,859
25,8,67,4,859
25,9,7,4,859
25,10,21,4,859
25,11,11,4,859
25,12,51,4,859
25,13,29,4,859
25,14,28,4,859
25,15,34,4,859
25,16,9,4,859
25,17,52,4,859
25,18,97,4,859
25,19,68,4,859
25,20,62,4,859
26,1,26,4,584
26,2,22,4,584
26,3,43,4,584
26,4,45,4,584
26,5,31,4,584
26,6,77,4,584
26,7,64,4,584
26,8,92,4,584
26,9,80,4,584
26,10,69,4,584
26,11,100,4,584
26,12,72,4,584
26,13,11,4,584
26,14,46,4,584
26,15,28,4,584
26,16,7,4,584
26,17,26,4,584
26,18,37,4,584
26,19,90,4,584
26,20,39,4,584
27,1,13,3,425
27,2,34,3,425
27,3,29,3,425
27,4,25,3,425
27,5,19,3,425
27,6,98,3,425
27,7,38,3,425
27,8,13,3,425
27,9,85,3,425
27,10,88,3,425
27,11,30,3,425
27,12,74,3,425
27,13,93,3,425
27,14,12,3,425
27,15,89,3,425
27,16,52,3,425
27,17,66,3,425
27,18,30,3,425
27,19,79,3,425
27,20,83,3,425
28,1,25,1,830
28,2,41,1,830
28,3,5,1,830
28,4,98,1,830
28,5,19,1,830
28,6,23,1,830
28,7,13,1,830
28,8,69,1,830
28,9,83,1,830
28,10,10,1,830
28,11,88,1,830
28,12,1,1,830
28,13,32,1,830
28,14,90,1,830
28,15,54,1,830
28,16,39,1,830
28,17,92,1,830
28,18,65,1,830
28,19,8,1,830
28,20,44,1,830
29,1,5,5,509
29,2,25,5,509
29,3,68,5,509
29,4,89,5,509
29,5,1,5,509
29,6,57,5,509
29,7,79,5,509
29,8,25,5,509
29,9,17,5,509
29,10,76,5,509
29,11,16,5,509
29,12,29,5,509
29,13,64,5,509
29,14,37,5,509
29,15,51,5,509
29,16,97,5,509
29,17,86,5,509
29,18,61,5,509
29,19,5,5,509
29,20,29,5,509
30,1,36,8,536
30,2,61,8,536
30,3,13,8,536
30,4,29,8,536
30,5,12,8,536
30,6,66,8,536
30,7,53,8,536
30,8,32,8,536
30,9,82,8,536
30,10,99,8,536
30,11,72,8,536
30,12,39,8,536
30,13,16,8,536
30,14,46,8,536
30,15,96,8,536
30,16,38,8,536
30,17,57,8,536
30,18,79,8,536
30,19,62,8,536
30,20,86,8,536
31,1,57,6,905
31,2,55,6,905
31,3,30,6,905
31,4,68,6,905
31,5,35,6,905
31,6,11,6,905
31,7,7,6,905
31,8,68,6,905
31,9,99,6,905
31,10,44,6,905
31,11,40,6,905
31,12,42,6,905
31,13,45,6,905
31,14,37,6,905
31,15,64,6,905
31,16,37,6,905
31,17,96,6,905
31,18,12,6,905
31,19,72,6,905
31,20,11,6,905
32,1,79,2,934
32,2,15,2,934
32,3,16,2,934
32,4,88,2,934
32,5,77,2,934
32,6,22,2,934
32,7,40,2,934
32,8,61,2,934
32,9,44,2,934
32,10,82,2,934
32,11,36,2,934
32,12,20,2,934
32,13,100,2,934
32,14,69,2,934
32,15,91,2,934
32,16,2,2,934
32,17,3,2,934
32,18,42,2,934
32,19,96,2,934
32,20,20,2,934
33,1,53,3,814
33,2,45,3,814
33,3,14,3,814
33,4,22,3,814
33,5,21,3,814
33,6,3,3,814
33,7,25,3,814
33,8,73,3,814
33,9,1,3,814
33,10,66,3,814
33,11,27,3,814
33,12,38,3,814
33,13,40,3,814
33,14,66,3,814
33,15,66,3,814
33,16,91,3,814
33,17,78,3,814
33,18,49,3,814
33,19,23,3,814
33,20,65,3,814
34,1,91,2,629
34,2,7,2,629
34,3,19,2,629
34,4,66,2,629
34,5,35,2,629
34,6,89,2,629
34,7,41,2,629
34,8,97,2,629
34,9,53,2,629
34,10,10,2,629
34,11,92,2,629
34,12,82,2,629
34,13,34,2,629
34,14,24,2,629
34,15,36,2,629
34,16,35,2,629
34,17,43,2,629
34,18,25,2,629
34,19,50,2,629
34,20,97,2,629
35,1,27,6,401
35,2,83,6,401
35,3,90,6,401
35,4,81,6,401
35,5,77,6,401
35,6,64,6,401
35,7,35,6,401
35,8,61,6,401
35,9,46,6,401
35,10,88,6,401
35,11,64,6,401
35,12,98,6,401
35,13,89,6,401
35,14,48,6,401
35,15,17,6,401
35,16,90,6,401
35,17,91,6,401
35,18,35,6,401
35,19,2,6,401
35,20,94,6,401
36,1,17,5,489
36,2,10,5,489
36,3,35,5,489
36,4,83,5,489
36,5,75,5,489
36,6,26,5,489
36,7,23,5,489
36,8,52,5,489
36,9,92,5,489
36,10,17,5,489
36,11,71,5,489
36,12,9,5,489
36,13,80,5,489
36,14,33,5,489
36,15,73,5,489
36,16,32,5,489
36,17,99,5,489
36,18,83,5,489
36,19,51,5,489
36,20,33,5,489
37,1,15,7,888
37,2,74,7,888
37,3,95,7,888
37,4,3,7,888
37,5,23,7,888
37,6,32,7,888
37,7,81,7,888
37,8,73,7,888
37,9,43,7,888
37,10,57,7,888
37,11,68,7,888
37,12,35,7,888
37,13,46,7,888
37,14,26,7,888
37,15,70,7,888
37,16,7,7,888
37,17,42,7,888
37,18,97,7,888
37,19,17,7,888
37,20,85,7,888
38,1,41,7,131
38,2,54,7,131
38,3,3,7,131
38,4,21,7,131
38,5,18,7,131
38,6,75,7,131
38,7,68,7,131
38,8,16,7,131
38,9,43,7,131
38,10,15,7,131
38,11,41,7,131
38,12,32,7,131
38,13,22,7,131
38,14,47,7,131
38,15,68,7,131
38,16,89,7,131
38,17,73,7,131
38,18,0,7,131
38,19,59,7,131
38,20,92,7,131
39,1,43,5,628
39,2,49,5,628
39,3,66,5,628
39,4,54,5,628
39,5,17,5,628
39,6,92,5,628
39,7,81,5,628
39,8,63,5,628
39,9,58,5,628
39,10,48,5,628
39,11,48,5,628
39,12,43,5,628
39,13,16,5,628
39,14,100,5,628
39,15,37,5,628
39,16,58,5,628
39,17,37,5,628
39,18,93,5,628
39,19,13,5,628
39,20,70,5,628
40,1,96,10,460
40,2,91,10,460
40,3,17,10,460
40,4,4,10,460
40,5,79,10,460
40,6,26,10,460
40,7,93,10,460
40,8,15,10,460
40,9,54,10,460
40,10,37,10,460
40,11,17,10,460
40,12,86,10,460
40,13,43,10,460
40,14,3,10,460
40,15,73,10,460
40,16,81,10,460
40,17,86,10,460
40,18,62,10,460
40,19,85,10,460
40,20,5,10,460
41,1,24,10,400
41,2,57,10,400
41,3,7,10,400
41,4,88,10,400
41,5,67,10,400
41,6,28,10,400
41,7,93,10,400
41,8,26,10,400
41,9,98,10,400
41,10,96,10,400
41,11,23,10,400
41,12,45,10,400
41,13,95,10,400
41,14,70,10,400
41,15,67,10,400
41,16,62,10,400
41,17,87,10,400
41,18,86,10,400
41,19,10,10,400
41,20,21,10,400
42,1,72,2,642
42,2,55,2,642
42,3,7,2,642
42,4,47,2,642
42,5,87,2,642
42,6,15,2,642
42,7,10,2,642
42,8,53,2,642
42,9,34,2,642
42,10,20,2,642
42,11,8,2,642
42,12,27,2,642
42,13,40,2,642
42,14,25,2,642
42,15,81,2,642
42,16,29,2,642
42,17,82,2,642
42,18,36,2,642
42,19,79,2,642
42,20,32,2,642
43,1,74,4,480
43,2,83,4,480
43,3,96,4,480
43,4,62,4,480
43,5,28,4,480
43,6,33,4,480
43,7,56,4,480
43,8,90,4,480
43,9,98,4,480
43,10,85,4,480
43,11,51,4,480
43,12,25,4,480
43,13,46,4,480
43,14,16,4,480
43,15,84,4,480
43,16,35,4,480
43,17,12,4,480
43,18,32,4,480
43,19,77,4,480
43,20,0,4,480
44,1,91,9,737
44,2,79,9,737
44,3,93,9,737
44,4,85,9,737
44,5,24,9,737
44,6,0,9,737
44,7,15,9,737
44,8,85,9,737
44,9,59,9,737
44,10,86,9,737
44,11,55,9,737
44,12,7,9,737
44,13,29,9,737
44,14,20,9,737
44,15,69,9,737
44,16,1,9,737
44,17,18,9,737
44,18,23,9,737
44,19,44,9,737
44,20,27,9,737
45,1,93,4,502
45,2,38,4,502
45,3,42,4,502
45,4,11,4,502
45,5,38,4,502
45,6,83,4,502
45,7,94,4,502
45,8,51,4,502
45,9,25,4,502
45,10,17,4,502
45,11,40,4,502
45,12,45,4,502
45,13,41,4,502
45,14,69,4,502
45,15,15,4,502
45,16,15,4,502
45,17,67,4,502
45,18,41,4,502
45,19,16,4,502
45,20,44,4,502
46,1,72,10,322
46,2,81,10,322
46,3,27,10,322
46,4,36,10,322
46,5,50,10,322
46,6,83,10,322
46,7,7,10,322
46,8,70,10,322
46,9,94,10,322
46,10,81,10,322
46,11,13,10,322
46,12,84,10,322
46,13,82,10,322
46,14,24,10,322
46,15,60,10,322
46,16,53,10,322
46,17,70,10,322
46,18,70,10,322
46,19,20,10,322
46,20,65,10,322
47,1,48,10,475
47,2,25,10,475
47,3,32,10,475
47,4,21,10,475
47,5,37,10,475
47,6,79,10,475
47,7,0,10,475
47,8,98,10,475
47,9,12,10,475
47,10,14,10,475
47,11,26,10,475
47,12,56,10,475
47,13,48,10,475
47,14,67,10,475
47,15,96,10,475
47,16,100,10,475
47,17,87,10,475
47,18,56,10,475
47,19,4,10,475
47,20,48,10,475
48,1,95,5,177
48,2,67,5,177
48,3,38,5,177
48,4,31,5,177
48,5,0,5,177
48,6,96,5,177
48,7,58,5,177
48,8,99,5,177
48,9,1,5,177
48,10,40,5,177
48,11,57,5,177
48,12,68,5,177
48,13,66,5,177
48,14,77,5,177
48,15,50,5,177
48,16,60,5,177
48,17,8,5,177
48,18,26,5,177
48,19,82,5,177
48,20,75,5,177
49,1,83,2,243
49,2,99,2,243
49,3,58,2,243
49,4,26,2,243
49,5,37,2,243
49,6,78,2,243
49,7,95,2,243
49,8,25,2,243
49,9,88,2,243
49,10,100,2,243
49,11,40,2,243
49,12,73,2,243
49,13,48,2,243
49,14,52,2,243
49,15,43,2,243
49,16,90,2,243
49,17,12,2,243
49,18,83,2,243
49,19,10,2,243
49,20,94,2,243
50,1,42,4,930
50,2,51,4,930
50,3,38,4,930
50,4,83,4,930
50,5,17,4,930
50,6,79,4,930
50,7,13,4,930
50,8,26,4,930
50,9,82,4,930
50,10,20,4,930
50,11,58,4,930
50,12,55,4,930
50,13,93,4,930
50,14,70,4,930
50,15,64,4,930
50,16,69,4,930
50,17,36,4,930
50,18,97,4,930
50,19,36,4,930
50,20,39,4,930
51,1,50,5,834
51,2,14,5,834
51,3,6,5,834
51,4,12,5,834
51,5,96,5,834
51,6,55,5,834
51,7,2,5,834
51,8,41,5,834
51,9,30,5,834
51,10,7,5,834
51,11,25,5,834
51,12,17,5,834
51,13,26,5,834
51,14,10,5,834
51,15,83,5,834
51,16,61,5,834
51,17,69,5,834
51,18,93,5,834
51,19,5,5,834
51,20,92,5,834
52,1,0,2,399
52,2,89,2,399
52,3,20,2,399
52,4,87,2,399
52,5,6,2,399
52,6,2,2,399
52,7,31,2,399
52,8,68,2,399
52,9,62,2,399
52,10,70,2,399
52,11,22,2,399
52,12,93,2,399
52,13,30,2,399
52,14,44,2,399
52,15,52,2,399
52,16,13,2,399
52,17,11,2,399
52,18,77,2,399
52,19,19,2,399
52,20,69,2,399
53,1,12,1,421
53,2,24,1,421
53,3,79,1,421
53,4,14,1,421
53,5,48,1,421
53,6,26,1,421
53,7,14,1,421
53,8,32,1,421
53,9,62,1,421
53,10,92,1,421
53,11,22,1,421
53,12,88,1,421
53,13,53,1,421
53,14,0,1,421
53,15,14,1,421
53,16,40,1,421
53,17,87,1,421
53,18,27,1,421
53,19,58,1,421
53,20,39,1,421
54,1,11,2,928
54,2,0,2,928
54,3,86,2,928
54,4,21,2,928
54,5,24,2,928
54,6,43,2,928
54,7,49,2,928
54,8,9,2,928
54,9,54,2,928
54,10,27,2,928
54,11,75,2,928
54,12,45,2,928
54,13,99,2,928
54,14,18,2,928
54,15,10,2,928
54,16,3,2,928
54,17,14,2,928
54,18,56,2,928
54,19,14,2,928
54,20,68,2,928
55,1,57,5,319
55,2,5,5,319
55,3,100,5,319
55,4,31,5,319
55,5,34,5,319
55,6,2,5,319
55,7,86,5,319
55,8,92,5,319
55,9,78,5,319
55,10,65,5,319
55,11,23,5,319
55,12,37,5,319
55,13,48,5,319
55,14,89,5,319
55,15,64,5,319
55,16,13,5,319
55,17,34,5,319
55,18,38,5,319
55,19,77,5,319
55,20,92,5,319
56,1,42,4,515
56,2,37,4,515
56,3,72,4,515
56,4,1,4,515
56,5,13,4,515
56,6,37,4,515
56,7,74,4,515
56,8,56,4,515
56,9,69,4,515
56,10,26,4,515
56,11,95,4,515
56,12,9,4,515
56,13,67,4,515
56,14,2,4,515
56,15,45,4,515
56,16,59,4,515
56,17,87,4,515
56,18,59,4,515
56,19,5,4,515
56,20,32,4,515
57,1,56,8,759
57,2,4,8,759
57,3,76,8,759
57,4,54,8,759
57,5,25,8,759
57,6,14,8,759
57,7,8,8,759
57,8,96,8,759
57,9,47,8,759
57,10,34,8,759
57,11,23,8,759
57,12,84,8,759
57,13,60,8,759
57,14,24,8,759
57,15,52,8,759
57,16,4,8,759
57,17,78,8,759
57,18,9,8,759
57,19,43,8,759
57,20,40,8,759
58,1,44,9,688
58,2,47,9,688
58,3,28,9,688
58,4,54,9,688
58,5,57,9,688
58,6,47,9,688
58,7,6,9,688
58,8,58,9,688
58,9,90,9,688
58,10,72,9,688
58,11,45,9,688
58,12,80,9,688
58,13,35,9,688
58,14,47,9,688
58,15,98,9,688
58,16,49,9,688
58,17,11,9,688
58,18,76,9,688
58,19,70,9,688
58,20,12,9,688
59,1,5,3,425
59,2,68,3,425
59,3,9,3,425
59,4,91,3,425
59,5,62,3,425
59,6,71,3,425
59,7,64,3,425
59,8,22,3,425
59,9,3,3,425
59,10,77,3,425
59,11,73,3,425
59,12,68,3,425
59,13,73,3,425
59,14,56,3,425
59,15,49,3,425
59,16,67,3,425
59,17,99,3,425
59,18,46,3,425
59,19,29,3,425
59,20,47,3,425
60,1,6,10,335
60,2,32,10,335
60,3,98,10,335
60,4,14,10,335
60,5,8,10,335
60,6,97,10,335
60,7,88,10,335
60,8,30,10,335
60,9,11,10,335
60,10,74,10,335
60,11,22,10,335
60,12,25,10,335
60,13,2,10,335
60,14,2,10,335
60,15,27,10,335
60,16,86,10,335
60,17,81,10,335
60,18,59,10,335
60,19,47,10,335
60,20,20,10,335
61,1,57,9,455
61,2,48,9,455
61,3,81,9,455
61,4,59,9,455
61,5,78,9,455
61,6,44,9,455
61,7,99,9,455
61,8,42,9,455
61,9,75,9,455
61,10,15,9,455
61,11,27,9,455
61,12,70,9,455
61,13,37,9,455
61,14,17,9,455
61,15,64,9,455
61,16,67,9,455
61,17,66,9,455
61,18,94,9,455
61,19,88,9,455
61,20,31,9,455
62,1,19,8,979
62,2,38,8,979
62,3,57,8,979
62,4,33,8,979
62,5,11,8,979
62,6,55,8,979
62,7,43,8,979
62,8,47,8,979
62,9,54,8,979
62,10,16,8,979
62,11,24,8,979
62,12,12,8,979
62,13,100,8,979
62,14,59,8,979
62,15,11,8,979
62,16,86,8,979
62,17,3,8,979
62,18,66,8,979
62,19,43,8,979
62,20,13,8,979
63,1,74,6,568
63,2,60,6,568
63,3,21,6,568
63,4,41,6,568
63,5,3,6,568
63,6,79,6,568
63,7,23,6,568
63,8,47,6,568
63,9,80,6,568
63,10,10,6,568
63,11,57,6,568
63,12,36,6,568
63,13,85,6,568
63,14,92,6,568
63,15,51,6,568
63,16,22,6,568
63,17,81,6,568
63,18,91,6,568
63,19,2,6,568
63,20,23,6,568
64,1,16,4,858
64,2,28,4,858
64,3,29,4,858
64,4,85,4,858
64,5,47,4,858
64,6,15,4,858
64,7,52,4,858
64,8,27,4,858
64,9,1,4,858
64,10,19,4,858
64,11,27,4,858
64,12,82,4,858
64,13,81,4,858
64,14,96,4,858
64,15,82,4,858
64,16,70,4,858
64,17,38,4,858
64,18,78,4,858
64,19,76,4,858
64,20,2,4,858
65,1,64,2,309
65,2,51,2,309
65,3,78,2,309
65,4,94,2,309
65,5,38,2,309
65,6,70,2,309
65,7,24,2,309
65,8,50,2,309
65,9,7,2,309
65,10,57,2,309
65,11,56,2,309
65,12,13,2,309
65,13,92,2,309
65,14,35,2,309
65,15,56,2,309
65,16,25,2,309
65,17,78,2,309
65,18,40,2,309
65,19,76,2,309
65,20,20,2,309
66,1,72,9,408
66,2,100,9,408
66,3,89,9,408
66,4,61,9,408
66,5,20,9,408
66,6,33,9,408
66,7,67,9,408
66,8,6,9,408
66,9,64,9,408
66,10,46,9,408
66,11,79,9,408
66,12,44,9,408
66,13,18,9,408
66,14,48,9,408
66,15,30,9,408
66,16,30,9,408
66,17,60,9,408
66,18,55,9,408
66,19,55,9,408
66,20,94,9,408
67,1,65,2,208
67,2,66,2,208
67,3,50,2,208
67,4,26,2,208
67,5,99,2,208
67,6,44,2,208
67,7,17,2,208
67,8,96,2,208
67,9,62,2,208
67,10,88,2,208
67,11,12,2,208
67,12,51,2,208
67,13,14,2,208
67,14,11,2,208
67,15,65,2,208
67,16,14,2,208
67,17,100,2,208
67,18,42,2,208
67,19,16,2,208
67,20,70,2,208
68,1,45,4,143
68,2,11,4,143
68,3,17,4,143
68,4,58,4,143
68,5,55,4,143
68,6,51,4,143
68,7,17,4,143
68,8,89,4,143
68,9,72,4,143
68,10,18,4,143
68,11,36,4,143
68,12,80,4,143
68,13,58,4,143
68,14,25,4,143
68,15,93,4,143
68,16,97,4,143
68,17,29,4,143
68,18,16,4,143
68,19,13,4,143
68,20,93,4,143
69,1,89,10,261
69,2,96,10,261
69,3,3,10,261
69,4,0,10,261
69,5,63,10,261
69,6,31,10,261
69,7,64,10,261
69,8,39,10,261
69,9,36,10,261
69,10,32,10,261
69,11,3,10,261
69,12,5,10,261
69,13,94,10,261
69,14,77,10,261
69,15,64,10,261
69,16,12,10,261
69,17,69,10,261
69,18,91,10,261
69,19,89,10,261
69,20,19,10,261
70,1,88,4,798
70,2,25,4,798
70,3,95,4,798
70,4,1,4,798
70,5,80,4,798
70,6,76,4,798
70,7,92,4,798
70,8,89,4,798
70,9,88,4,798
70,10,41,4,798
70,11,98,4,798
70,12,4,4,798
70,13,38,4,798
70,14,80,4,798
70,15,49,4,798
